gene	group1	group2	padj.edgeR	pvalue.edgeR	logFC.edgeR	padj.DESeq2	pvalue.DESeq2	logFC.DESeq2	description	SL4
Solyc09G000297	F.28.75	F.34.75	1.49e-08	6.29e-11	3.413	0.000829	2.42e-06	3.478	plant/protein (AHRD V3.3 *** AT3G10020.1) ITAG4.0:Solyc09g008970.1	Solyc09g008970.1
Solyc09G000532	F.28.75	F.34.75	6.01e-10	2.24e-12	7.043	0.000976	2.92e-06	6.501	Regulator of chromosome condensation (RCC1) family protein (AHRD V3.3 *** A0A1I9LSN5_ARATH) ITAG4.0:Solyc09g011160.4	Solyc09g011160.4
Solyc09G000744	F.28.75	F.34.75	3.37e-17	8.93e-20	4.443	3.31e-06	8.27e-09	4.538	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR) ITAG4.0:Solyc09g015020.1	Solyc09g015020.1
Solyc09G002335	F.28.75	F.34.75	0.000395	2.09e-06	2.111	0.0491	0.000192	2.124	Heat shock protein 70 kDa (AHRD V3.3 *** A0A2K3P5L8_TRIPR) ITAG4.0:Solyc09g075950.1	Solyc09g075950.1
Solyc09G002796	F.28.75	F.34.75	4.57e-60	2.75e-63	6.11	3.7e-30	2.46e-33	6.16	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002281	F.28.75	F.34.75	1.01e-12	3.41e-15	1.99	3.14e-17	3.4e-20	1.987	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	F.28.75	F.34.75	2.38e-27	3.73e-30	4.324	1.73e-15	2.16e-18	4.356	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
NA	NA	NA	NA	NA	NA	0.0146	5.21e-05	6.105	RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2VFH1_CAPBA) ITAG4.0:Solyc11g006030.1	Solyc11g006030.1
Solyc11G000981	F.28.75	F.34.75	4.89e-07	2.53e-09	4.327	NA	NA	NA	NA	NA
Solyc11G002064	F.28.75	F.34.75	7.68e-11	2.78e-13	1.466	2.65e-13	3.75e-16	1.463	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	F.28.75	F.34.75	4.38e-28	6.33e-31	3.184	2.1e-14	2.8e-17	3.181	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002140	F.28.75	F.34.75	2.66e-08	1.22e-10	2.753	0.000103	2.73e-07	2.779	Zinc finger transcription factor 68 ITAG4.0:Solyc11g066830.2	Solyc11g066830.2
Solyc11G002443	F.28.75	F.34.75	1.34e-70	3.22e-74	5.147	2.4e-51	8e-55	5.161	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000098	F.28.75	F.34.75	0.0202	0.000126	0.629	NA	NA	NA	NA	NA
Solyc12G000755	F.28.75	F.34.75	1.81e-21	3.28e-24	2.192	8.65e-27	6.48e-30	2.189	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
Solyc12G001950	F.28.75	F.34.75	0.0498	0.00033	0.624	NA	NA	NA	NA	NA
Solyc06G002092	V.28.15	V.34.15	0.0482	1.17e-05	1.743	NA	NA	NA	NA	NA
Solyc11G002068	V.28.15	V.34.15	0.00796	9.68e-07	1.341	NA	NA	NA	NA	NA
Solyc03G000301	V.28.30	V.34.30	3.98e-05	1.44e-08	2.494	0.000123	2.32e-08	2.508	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G002803	V.28.30	V.34.30	0.000645	3.49e-07	1.664	0.00223	7.03e-07	1.672	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc06G000727	V.28.30	V.34.30	0.000645	3.89e-07	2.174	0.0016	4.03e-07	2.186	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	V.28.30	V.34.30	4.24e-07	5.11e-11	2.784	2.31e-06	1.46e-10	2.799	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	V.28.30	V.34.30	0.00195	1.41e-06	1.529	NA	NA	NA	NA	NA
Solyc11G002068	V.28.30	V.34.30	6.31e-06	1.52e-09	1.825	4.62e-06	5.84e-10	1.833	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
PRAM_26312	V.28.45	V.34.45	1.16e-08	1.39e-11	2.898	9.17e-07	3.12e-10	2.917	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G002277	V.28.45	V.34.45	2.53e-06	4.23e-09	2.638	2.05e-05	8.39e-09	2.653	NA	NA
Solyc01G002906	V.28.45	V.34.45	1.06e-12	7.07e-16	3.488	0.000336	2.75e-07	3.501	NA	NA
Solyc01G003506	V.28.45	V.34.45	0.000284	7.46e-07	2.939	0.0497	8.81e-05	3.001	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
NA	NA	NA	NA	NA	NA	0.0132	1.99e-05	3.151	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003826	V.28.45	V.34.45	0.0194	6.7e-05	1.385	NA	NA	NA	NA	NA
Solyc02G001692	V.28.45	V.34.45	0.0324	0.000126	1.053	NA	NA	NA	NA	NA
Solyc03G000301	V.28.45	V.34.45	1.85e-12	1.55e-15	3.105	0.000384	3.66e-07	3.116	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G001667	V.28.45	V.34.45	0.0011	3.28e-06	3.01	0.00541	7.01e-06	3.044	NA	NA
Solyc03G002803	V.28.45	V.34.45	5.16e-11	4.92e-14	2.706	0.00178	1.99e-06	2.71	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	V.28.45	V.34.45	2.53e-06	3.98e-09	2.281	0.000155	1.16e-07	2.294	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003305	V.28.45	V.34.45	0.00798	2.57e-05	1.199	NA	NA	NA	NA	NA
Solyc03G003549	V.28.45	V.34.45	4.21e-06	8.03e-09	3.626	0.0197	3.09e-05	3.722	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc04G000427	V.28.45	V.34.45	2.38e-10	2.55e-13	3.021	5.05e-10	1.03e-13	3.034	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002206	V.28.45	V.34.45	3.68e-06	6.58e-09	3.105	2.96e-05	1.82e-08	3.13	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
NA	NA	NA	NA	NA	NA	0.0212	3.47e-05	3.106	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc06G000727	V.28.45	V.34.45	1.6e-14	3.81e-18	2.868	2.96e-05	1.74e-08	2.877	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	V.28.45	V.34.45	3.5e-13	1.67e-16	2.917	9.85e-05	6.71e-08	2.921	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	V.28.45	V.34.45	0.000441	1.21e-06	1.043	NA	NA	NA	NA	NA
Solyc06G002493	V.28.45	V.34.45	0.00289	8.95e-06	2.522	NA	NA	NA	NA	NA
Solyc06G002645	V.28.45	V.34.45	0.0324	0.00012	1.976	NA	NA	NA	NA	NA
Solyc07G002080	V.28.45	V.34.45	0.0169	5.63e-05	1.101	NA	NA	NA	NA	NA
Solyc07G002738	V.28.45	V.34.45	0.0324	0.000127	-1.958	NA	NA	NA	NA	NA
Solyc08G000196	V.28.45	V.34.45	2.58e-05	5.54e-08	2.197	0.00178	2.06e-06	2.216	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001299	V.28.45	V.34.45	2.35e-07	3.36e-10	3.96	0.011	1.54e-05	4.09	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G002124	V.28.45	V.34.45	0.0352	0.000143	1.783	NA	NA	NA	NA	NA
Solyc08G002151	V.28.45	V.34.45	1.3e-17	1.55e-21	3.353	2.42e-17	1.65e-21	3.365	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc09G000013	V.28.45	V.34.45	0.0197	7.04e-05	0.986	0.0374	6.37e-05	0.99	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA) ITAG4.0:Solyc09g005120.3	Solyc09g005120.3
Solyc09G002796	V.28.45	V.34.45	2.78e-05	6.3e-08	2.743	0.000436	4.46e-07	2.768	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G002281	V.28.45	V.34.45	0.000653	1.87e-06	0.835	0.00292	3.58e-06	0.838	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	V.28.45	V.34.45	0.000159	3.8e-07	2.381	0.011	1.57e-05	2.405	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc11G002064	V.28.45	V.34.45	1.42e-05	2.87e-08	0.932	2.05e-05	9.78e-09	0.934	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	V.28.45	V.34.45	1.06e-12	7.56e-16	2.262	0.000337	2.99e-07	2.267	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002140	V.28.45	V.34.45	0.000282	7.06e-07	2.189	NA	NA	NA	NA	NA
Solyc11G002443	V.28.45	V.34.45	3.38e-13	1.21e-16	3.109	1.99e-12	2.71e-16	3.122	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000755	V.28.45	V.34.45	2.02e-08	2.65e-11	1.3	1.17e-07	3.18e-11	1.303	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
PRAM_26312	V.28.75	V.34.75	1.79e-09	5.09e-12	2.699	4.34e-09	7.2e-12	2.708	LeHSP110/ClpB heat shock protein ITAG4.0:Solyc02g088610.4	Solyc02g088610.4
Solyc01G002277	V.28.75	V.34.75	1.41e-24	1.01e-27	4.563	2.43e-12	2.6e-15	4.58	NA	NA
Solyc01G002906	V.28.75	V.34.75	4.3e-21	4.6e-24	3.944	5.46e-09	9.59e-12	3.955	NA	NA
Solyc01G003506	V.28.75	V.34.75	5.14e-17	9.15e-20	4.157	2.08e-10	2.64e-13	4.208	22.0 kDa class IV heat shock protein (AHRD V3.3 *** A0A2G3ATG3_CAPCH) ITAG4.0:Solyc01g102960.3	Solyc01g102960.3
Solyc01G003685	V.28.75	V.34.75	5e-05	2.14e-07	2.83	0.000119	3.25e-07	2.851	Multiprotein-bridging factor 1c (AHRD V3.3 *** A0A1U8F6N4_CAPAN) ITAG4.0:Solyc01g104740.3	Solyc01g104740.3
Solyc01G003823	V.28.75	V.34.75	0.0077	4.02e-05	1.027	NA	NA	NA	NA	NA
Solyc01G003896	V.28.75	V.34.75	7.32e-10	1.83e-12	4.392	0.00192	5.99e-06	4.546	NA	NA
Solyc02G001692	V.28.75	V.34.75	0.0175	0.000104	1.022	NA	NA	NA	NA	NA
Solyc02G001811	V.28.75	V.34.75	4.59e-07	1.58e-09	4.757	0.0109	4.15e-05	4.988	LeftsH6FtsH protease ITAG4.0:Solyc02g081550.3	Solyc02g081550.3
Solyc03G000301	V.28.75	V.34.75	6.62e-25	3.93e-28	3.76	7.06e-11	8.26e-14	3.769	class 2 small heat shock protein Le-HSP17.6 ITAG4.0:Solyc03g007890.3	Solyc03g007890.3
Solyc03G001667	V.28.75	V.34.75	3.88e-11	9.21e-14	3.676	2.29e-08	4.24e-11	3.716	NA	NA
Solyc03G002803	V.28.75	V.34.75	4.39e-23	3.65e-26	3.445	7.86e-10	1.07e-12	3.454	Solanum lycopersicum heat shock protein ITAG4.0:Solyc03g115230.3	Solyc03g115230.3
Solyc03G003038	V.28.75	V.34.75	2.18e-27	7.77e-31	3.896	4.69e-21	4.58e-25	3.912	Heat shock 70 kDa protein (AHRD V3.3 *** A0A1U8FVW2_CAPAN) ITAG4.0:Solyc03g117630.1	Solyc03g117630.1
Solyc03G003305	V.28.75	V.34.75	3.64e-07	1.17e-09	1.729	4.78e-06	1.17e-08	1.734	Pyridoxal 5'-phosphate synthase pdxS subunit (AHRD V3.3 *** U9T0K3_RHIID) ITAG4.0:Solyc03g120090.1	Solyc03g120090.1
Solyc03G003549	V.28.75	V.34.75	6.02e-15	1.29e-17	5.642	5.07e-07	1.14e-09	5.808	17.4 kDa class III heat shock protein (AHRD V3.3 *** A0A2G3D1F4_CAPCH) ITAG4.0:Solyc03g123540.3	Solyc03g123540.3
Solyc04G000427	V.28.75	V.34.75	4.04e-20	4.8e-23	3.804	2.13e-09	3.32e-12	3.814	ethylene-responsive heat shock protein cognate 70 ITAG4.0:Solyc04g011440.4	Solyc04g011440.4
Solyc04G002009	V.28.75	V.34.75	0.0168	9.37e-05	-0.46	0.00752	2.71e-05	-0.461	Protein phosphatase 2C (AHRD V3.3 *** Q8S8Z0_MESCR) ITAG4.0:Solyc04g064500.4	Solyc04g064500.4
Solyc04G002206	V.28.75	V.34.75	9.15e-20	1.3e-22	4.46	1.27e-15	6.17e-19	4.491	ripening regulated protein DDTFR8 ITAG4.0:Solyc04g072160.3	Solyc04g072160.3
Solyc05G000281	V.28.75	V.34.75	1.57e-06	5.78e-09	2.882	0.00114	3.23e-06	2.888	RING/U-box superfamily protein (AHRD V3.3 *-* Q9LJE9_ARATH) ITAG4.0:Solyc05g007895.1	Solyc05g007895.1
Solyc05G000894	V.28.75	V.34.75	1.35e-09	3.68e-12	5.82	0.00119	3.49e-06	6.144	small heat shock protein 1 ITAG4.0:Solyc05g014280.4	Solyc05g014280.4
Solyc05G002365	V.28.75	V.34.75	0.00252	1.17e-05	1.253	NA	NA	NA	NA	NA
Solyc06G000727	V.28.75	V.34.75	1.26e-28	3e-32	3.389	2.05e-12	2e-15	3.392	heat shock protein 90 ITAG4.0:Solyc06g036290.3	Solyc06g036290.3
Solyc06G002092	V.28.75	V.34.75	5.14e-17	8.85e-20	3.289	2.8e-07	6e-10	3.294	BAG family molecular chaperone regulator 5, mitochondrial (AHRD V3.3 *-* A0A2I0XHJ2_9ASPA) ITAG4.0:Solyc06g072430.3	Solyc06g072430.3
Solyc06G002439	V.28.75	V.34.75	1.07e-06	3.8e-09	1.349	0.0259	0.000101	1.352	heat shock protein 70 kD ITAG4.0:Solyc06g076020.3	Solyc06g076020.3
NA	NA	NA	NA	NA	NA	0.00523	1.84e-05	4.769	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076520.1	Solyc06g076520.1
Solyc06G002493	V.28.75	V.34.75	2.09e-08	6.46e-11	3.708	1.4e-07	2.87e-10	3.742	Class I heat shock protein (AHRD V3.3 *** A0A2K3M3P7_TRIPR) ITAG4.0:Solyc06g076560.2	Solyc06g076560.2
Solyc06G002645	V.28.75	V.34.75	9.12e-09	2.71e-11	3.662	2.41e-08	4.71e-11	3.692	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G3CCB5_CAPCH) ITAG4.0:Solyc06g083190.4	Solyc06g083190.4
Solyc07G001812	V.28.75	V.34.75	0.017	9.78e-05	0.839	NA	NA	NA	NA	NA
Solyc07G002080	V.28.75	V.34.75	0.0266	0.000165	1.023	NA	NA	NA	NA	NA
Solyc07G002337	V.28.75	V.34.75	0.00865	4.62e-05	2.516	NA	NA	NA	NA	NA
Solyc07G002746	V.28.75	V.34.75	0.00554	2.7e-05	0.663	0.00211	7.01e-06	0.664	molecular chaperone Hsp90-2 ITAG4.0:Solyc07g065840.2	Solyc07g065840.2
Solyc08G000196	V.28.75	V.34.75	4.46e-19	6.89e-22	3.104	4.19e-13	2.86e-16	3.121	RING/U-box superfamily protein (AHRD V3.3 *** A0A2U1LIK0_ARTAN) ITAG4.0:Solyc08g006980.3	Solyc08g006980.3
Solyc08G001243	V.28.75	V.34.75	4.16e-07	1.38e-09	4.516	0.00181	5.47e-06	4.659	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3A1B9_CAPAN) ITAG4.0:Solyc08g062340.3	Solyc08g062340.3
Solyc08G001249	V.28.75	V.34.75	1.07e-09	2.79e-12	3.461	7.17e-06	1.82e-08	3.52	17.9 kDa class II heat shock protein (AHRD V3.3 *** A0A2G3CY92_CAPCH) ITAG4.0:Solyc08g062437.1	Solyc08g062437.1
Solyc08G001299	V.28.75	V.34.75	1.59e-05	6.23e-08	3.515	0.0025	8.54e-06	3.582	Heat shock transcription factor (AHRD V3.3 *-* A0A1Y1I763_KLENI) ITAG4.0:Solyc08g062960.4	Solyc08g062960.4
Solyc08G002151	V.28.75	V.34.75	5.74e-27	2.73e-30	3.746	1.6e-12	1.4e-15	3.748	mitochondrial small heat shock protein ITAG4.0:Solyc08g078700.2	Solyc08g078700.2
Solyc08G002201	V.28.75	V.34.75	0.00721	3.59e-05	1.11	NA	NA	NA	NA	NA
Solyc08G002253	V.28.75	V.34.75	0.00396	1.88e-05	2.451	NA	NA	NA	NA	NA
Solyc09G000013	V.28.75	V.34.75	0.0113	6.16e-05	0.935	0.0102	3.77e-05	0.937	DnaJ protein ERDJ3A (AHRD V3.3 *** A0A2G2VZ69_CAPBA) ITAG4.0:Solyc09g005120.3	Solyc09g005120.3
Solyc09G000532	V.28.75	V.34.75	0.000333	1.5e-06	3.01	NA	NA	NA	NA	NA
Solyc09G000744	V.28.75	V.34.75	1.96e-06	7.45e-09	3.661	4.78e-05	1.26e-07	3.713	Class I heat shock protein (AHRD V3.3 *** A0A2K3KSJ8_TRIPR) ITAG4.0:Solyc09g015020.1	Solyc09g015020.1
Solyc09G002335	V.28.75	V.34.75	0.00733	3.74e-05	1.785	NA	NA	NA	NA	NA
Solyc09G002796	V.28.75	V.34.75	8.56e-20	1.12e-22	4.235	4.58e-20	8.94e-24	4.253	Peptidylprolyl isomerase (AHRD V3.3 *** A0A2G2W2H8_CAPBA) ITAG4.0:Solyc09g092690.3	Solyc09g092690.3
Solyc10G001019	V.28.75	V.34.75	0.049	0.000314	1.159	NA	NA	NA	NA	NA
Solyc10G002281	V.28.75	V.34.75	8.99e-14	2.03e-16	1.659	5.63e-15	3.3e-18	1.66	Activator of 90 kDa heat shock protein ATPase-like protein 1 (AHRD V3.3 *** A0A1J3GDI7_NOCCA) ITAG4.0:Solyc10g078930.2	Solyc10g078930.2
Solyc10G002699	V.28.75	V.34.75	2.74e-15	5.53e-18	3.719	1.32e-12	1.03e-15	3.742	Bag family molecular chaperone regulator mitochondrial-like (AHRD V3.3 *** A0A2K3P7D1_TRIPR) ITAG4.0:Solyc10g084170.1	Solyc10g084170.1
Solyc11G000182	V.28.75	V.34.75	0.0206	0.000125	-0.861	NA	NA	NA	NA	NA
Solyc11G001804	V.28.75	V.34.75	0.017	9.92e-05	1.104	NA	NA	NA	NA	NA
Solyc11G002064	V.28.75	V.34.75	2.09e-05	8.44e-08	1.116	1.33e-06	3.1e-09	1.118	70 kDa heat shock protein (AHRD V3.3 *** Q943K7_ORYSJ) ITAG4.0:Solyc11g066060.3	Solyc11g066060.3
Solyc11G002068	V.28.75	V.34.75	4.68e-23	4.44e-26	2.838	1.24e-09	1.81e-12	2.844	Heat shock protein 70 (AHRD V3.3 *** S8C6K2_9LAMI) ITAG4.0:Solyc11g066100.2	Solyc11g066100.2
Solyc11G002140	V.28.75	V.34.75	3.4e-05	1.41e-07	2.478	0.00211	6.86e-06	2.503	Zinc finger transcription factor 68 ITAG4.0:Solyc11g066830.2	Solyc11g066830.2
Solyc11G002443	V.28.75	V.34.75	1.32e-31	1.56e-35	4.953	1.24e-15	4.85e-19	4.973	DnaJ protein like (AHRD V3.3 *** A0A2I0X6P9_9ASPA) ITAG4.0:Solyc11g071830.2	Solyc11g071830.2
Solyc12G000755	V.28.75	V.34.75	2.03e-16	3.86e-19	1.902	3.83e-18	1.12e-21	1.903	Heat shock protein 90-1 ITAG4.0:Solyc12g015880.2	Solyc12g015880.2
Solyc12G001950	V.28.75	V.34.75	0.0391	0.000246	0.603	NA	NA	NA	NA	NA
Solyc12G002286	V.28.75	V.34.75	9.82e-05	4.32e-07	2.64	0.0493	0.000197	2.71	HSP20-like chaperone (AHRD V3.3 *** A0A2U1QD54_ARTAN) ITAG4.0:Solyc12g056780.2	Solyc12g056780.2
